,date,time,menu
0,2022. 06. 23. (목),오후 10:27:54,"['[100%국내산살코기] 임사부 돼지국밥\n1개', '┗ 매운맛(매운다데기 별도제공)', '[해장용]얼큰하게 속푸는 매운해장국밥\n1개', '┗ 고기+전통순대 둘다 넣기']"
1,2022. 06. 23. (목),오후 10:23:44,"['직화바베큐 치밥도시락\n1개', '┗ ㄹlㅇ뷰 ㅇl벤트(왕새우 튀김 2개)', '갈비천왕 치밥도시락\n1개', '┗ ㄹlㅇ뷰 ㅇl벤트(왕새우 튀김 2개)']"
2,2022. 06. 23. (목),오후 10:03:27,"['[해장용]얼큰하게 속푸는 매운해장국밥\n1개', '┗ (특) 곱빼기 변경', '┗ 100%살코기만 넣기', '┗ 소면 추가']"
3,2022. 06. 23. (목),오후 10:03:06,"['살얼음 냉면육수 추가\n1개', '임사부 속초식코다리 회냉면[[특제소스]]\n1개', '┗ 전 안먹어요', '┗ 오리지날(누구나O)']"
4,2022. 06. 23. (목),오후 09:57:04,"['[해장용]얼큰하게 속푸는 매운해장국밥\n1개', '┗ 고기+전통순대 둘다 넣기', '당일 도축 국내산 수육 + 명태회무침\n1개']"
5,2022. 06. 23. (목),오후 09:29:11,"['타코야끼12알 + 튀김(선택) + 음료1\n1개', '┗ 청양마요 (맛선택)', '┗ 펩시콜라 500ml', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 이연x멘보샤 3개(특제소스 제공)']"
6,2022. 06. 23. (목),오후 09:28:43,"['수제돈까스 (1PC) + 물냉면2\n1개', '┗ 오리지날(누구나0)', '┗ 오리지날(누구나O)', '┗ ㄹl뷰 ㅇl벤트(숯불향 갈비만두4pc)', '┗ 겨자,식초 주세요', '┗ 겨자,식초 주세요', '┗ 매운맛']"
7,2022. 06. 23. (목),오후 09:22:59,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 12알 추가 (총 24알)', '┗ 우유튀김 5개', '┗ 오리지널 (맛선택)']"
8,2022. 06. 23. (목),오후 08:59:21,"['타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ 파마산치즈+오리지널 (맛선택)', '┗ 직화양념(매콤) 지코X스타일', '┗ 쿨피스 350ml', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '우유튀김 5개\n1개']"
9,2022. 06. 23. (목),오후 08:58:19,"['등심 수제돈까스 (1PC) + 살얼음 흑미냉면1\n1개', '┗ 15cm 왕새우튀김 2개', '┗ 매운맛', '┗ 매운맛 2단계(신라면x2)', '┗ 겨자,식초 주세요', '┗ ㄹl뷰 ㅇl벤트(콜라355ml)']"
10,2022. 06. 23. (목),오후 08:52:36,"['타코야끼12알 + 튀김(선택) + 음료1\n1개', '┗ 오리지널 (맛선택)', '┗ 쿨피스 350ml', '┗ ㄹl뷰 ㅇl벤트(펩시콜라355ml)', '┗ 왕오징어튀김 3개']"
11,2022. 06. 23. (목),오후 08:43:05,"['[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 청양마요 (맛선택)', '┗ 매콤양념 (맛선택)', '김말이 4개\n1개', '乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 청양고추+오리지널 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)']"
12,2022. 06. 23. (목),오후 08:32:35,"['갈비천왕 치밥도시락\n2개', '┗ 쫄깃 밀떡 10개 추가']"
13,2022. 06. 23. (목),오후 08:08:38,"['(판매1위) 1인 임사부 국밥정식\n1개', '┗ 치킨 피카츄 1개', '┗ 고기+전통순대 둘다 넣기', '┗ 리ㅇ뷰 ㅇl벤트 (새우 튀김 2개)', '┗ 순한맛']"
14,2022. 06. 23. (목),오후 08:08:17,"['임사부 속초식코다리 회냉면[[특제소스]]\n1개', '┗ (특) 곱빼기로 변경', '┗ 오리지날(누구나O)', '┗ 겨자,식초 주세요', '숯불향 가득 갈비만두 (5pc ) + 임사부살얼음 냉면\n1개', '┗ 오리지날(누구나O)', '┗ 겨자,식초 주세요']"
15,2022. 06. 23. (목),오후 07:43:27,"['숯불향 가득 갈비만두 (5pc ) + 임사부살얼음 냉면\n1개', '┗ 겨자,식초 주세요', '┗ 매운맛 3단계(불닭볶음면)']"
16,2022. 06. 23. (목),오후 07:41:24,"['[해장용]얼큰하게 속푸는 매운해장국밥\n1개', '┗ 명품 전통순대', '┗ 리ㅇ뷰 ㅇl벤트 (팹시콜라355ml)', '┗ 고기+전통순대 둘다 넣기']"
17,2022. 06. 23. (목),오후 07:40:23,"['참이슬 후레쉬\n2개', '타코야끼12알+튀김(선택)+음료1개\n1개', '┗ 15cm새우튀김 2개', '┗ 사이다 500ml', '┗ 오리지널 (맛선택)', '┗ 야끼만두4한입핫도그3']"
18,2022. 06. 23. (목),오후 07:35:46,"['소떡소떡\n1개', '┗ 1개', '왕오징어튀김\n1개', '┗ 2개', '[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 청양마요 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 오리지널 (맛선택)']"
19,2022. 06. 23. (목),오후 07:32:49,"['직화숯불구이 ( 150g ) + 살얼음 흑미냉면1\n1개', '┗ (특) 곱빼기로 변경', '┗ 소떡소떡 1줄', '┗ 오리지날(누구나O)', '┗ 전 안먹어요']"
20,2022. 06. 23. (목),오후 07:15:17,"['[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 오징어튀김 2개', '┗ 야끼만두 5개', '┗ 바베큐 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 매콤양념 (맛선택)']"
21,2022. 06. 23. (목),오후 06:47:06,"['갈비천왕 치밥도시락\n1개', '┗ 공기밥 1인분 추가']"
22,2022. 06. 23. (목),오후 06:46:48,"['(혼술해장세트)수육국밥세트\n1개', '┗ 국밥용부추 추가', '┗ 매운맛(매운다데기 별도제공)', '┗ 야들야들 국내산 수육', '┗ 리ㅇ뷰 ㅇl벤트 (새우 튀김 2개)', '┗ 고기만 넣기']"
23,2022. 06. 23. (목),오후 06:36:30,"['[해장용]얼큰하게 속푸는 매운해장국밥\n1개', '┗ 리ㅇ뷰 ㅇl벤트 (새우 튀김 2개)', '┗ 고기+전통순대 둘다 넣기']"
24,2022. 06. 23. (목),오후 06:17:16,"['직화바베큐 치밥도시락\n1개', '┗ 고기 100g 추가']"
25,2022. 06. 23. (목),오후 06:17:14,"['(대표)진한국물 임사부 전통순대국밥\n1개', '┗ 보통', '┗ 고기+전통순대 둘다 넣기', '┗ 순한맛']"
26,2022. 06. 23. (목),오후 06:11:02,"['(대표)진한국물 임사부 전통순대국밥\n1개', '┗ 보통', '┗ 고기+전통순대 둘다 넣기', '┗ 순한맛']"
27,2022. 06. 23. (목),오후 06:05:59,"['[100%국내산살코기] 임사부 돼지국밥\n1개', '┗ 매운맛(매운다데기 별도제공)', '(판매1위) 1인 임사부 국밥정식\n1개', '┗ 고기+전통순대 둘다 넣기', '┗ 리ㅇ뷰 ㅇl벤트 (새우 튀김 2개)', '┗ 매운맛(매운다데기 별도제공)']"
28,2022. 06. 23. (목),오후 06:03:07,"['타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 쿨피스 350ml', '┗ 오리지널 (맛선택)', '┗ 직화양념(매콤) 지코X스타일']"
29,2022. 06. 23. (목),오후 05:47:41,"['직화숯불구이 ( 150g ) + 코다리회냉면1\n1개', '┗ 이연x의 멘보샤(4PC)+ 수제소스제공', '┗ 오리지날(누구나O)', '┗ 겨자,식초 주세요', '乃판매1위乃임사부 흑미살얼음 물냉면\n1개', '┗ 날치알마요 셀프주먹밥', '┗ 겨자,식초 주세요', '┗ 매운맛 1단계(신라면)']"
30,2022. 06. 23. (목),오후 05:34:58,"['임사부 속초식코다리 회냉면[[특제소스]]\n1개', '┗ 전 안먹어요', '┗ 오리지날(누구나O)', '┗ ㄹl뷰 ㅇl벤트(숯불향 갈비만두4pc)']"
31,2022. 06. 23. (목),오후 05:15:04,"['직화숯불구이 ( 150g ) + 살얼음 흑미냉면1\n1개', '┗ 겨자,식초 주세요', '┗ ㄹl뷰 ㅇl벤트(숯불향 갈비만두4pc)', '┗ 매운맛 2단계(신라면x2)']"
32,2022. 06. 23. (목),오후 03:16:46,"['직화숯불구이 (150g) + 물냉면1 + 비빔냉면1\n1개', '┗ 겨자,식초 주세요', '┗ 오리지날(누구나0)', '┗ 오리지날(누구나O)', '┗ 겨자,식초 주세요', '┗ ㄹl뷰 ㅇl벤트(숯불향 갈비만두4pc)']"
33,2022. 06. 23. (목),오후 03:13:13,"['찐한국물 임사부국밥\n1개', '┗ 순한맛', '┗ 돼지국밥(고기만 넣기)']"
34,2022. 06. 23. (목),오후 03:07:59,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 12알 추가 (총 24알)', '┗ 바베큐 (맛선택)']"
35,2022. 06. 23. (목),오후 02:48:35,"['임사부 국밥 돈까스 정식\n1개', '┗ 모듬(고기,순대)추가', '┗ 고기+전통순대 둘다 넣기', '┗ 오리지날맛', '┗ 리ㅇ뷰 ㅇl벤트 (팹시콜라355ml)', '┗ 순한맛']"
36,2022. 06. 23. (목),오후 02:35:46,"['타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ 파마산치즈+오리지널 (맛선택)', '┗ 직화양념(매콤) 지코X스타일', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 쿨피스 350ml']"
37,2022. 06. 23. (목),오후 01:47:34,"['타코야끼12알 + 튀김(선택) + 음료1\n1개', '┗ 야끼만두4한입핫도그3', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 오리지널 (맛선택)', '┗ 쿨피스 350ml']"
38,2022. 06. 23. (목),오후 01:16:29,"['(강추)푸짐(순대+수육) + 국밥 2\n1개', '┗ 순한맛', '┗ 순한맛', '┗ 고기+전통순대 둘다 넣기', '┗ 고기+순대 둘다 넣기']"
39,2022. 06. 23. (목),오후 01:09:12,"['찐한국물 임사부국밥\n1개', '┗ 순한맛', '┗ 모듬국밥(고기+순대 둘다넣기)', '乃판매1위乃임사부 흑미살얼음 물냉면\n1개', '┗ 겨자,식초 주세요', '┗ 매운맛 1단계(신라면)']"
40,2022. 06. 23. (목),오후 12:43:45,"['직화숯불구이 ( 150g ) + 살얼음 흑미냉면1\n1개', '┗ 매운맛 2단계(신라면x2)', '┗ ㄹl뷰 ㅇl벤트(숯불향 갈비만두4pc)', '┗ 전 안먹어요']"
41,2022. 06. 23. (목),오후 12:15:03,"['[해장용]마라로 속푸는 마라해장국밥\n1개', '┗ (특) 곱빼기 변경', '┗ 공기밥 추가', '┗ 소면 추가', '┗ 고기+전통순대 둘다 넣기', '공기밥추가\n1개']"
42,2022. 06. 23. (목),오후 12:10:30,"['임사부 속초식코다리 회냉면[[특제소스]]\n1개', '┗ 직화 숯불구이150g 추가', '┗ (특) 곱빼기로 변경', '┗ 겨자,식초 주세요', '┗ 오리지날(누구나O)', '┗ ㄹl뷰 ㅇl벤트(콜라355ml)']"
43,2022. 06. 23. (목),오후 12:09:42,"['직화양념 치밥도시락 (매콤) (지코X 스타일)\n1개', '┗ 고기 100g 추가', '┗ 비엔나소세지 5개 추가', '┗ 메추리알 6개 추가']"
44,2022. 06. 23. (목),오후 12:06:21,"['[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 파마산치즈+오리지널 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 매콤양념 (맛선택)', '미니 떡볶이\n1개', '┗ 중간맛']"
45,2022. 06. 23. (목),오전 11:58:44,"['숯불향 가득 갈비만두 (5pc ) + 임사부 비빔냉면\n1개', '┗ 소떡소떡 1줄', '┗ 전통 야끼만두5개', '┗ 살얼음 냉면육수 추가', '┗ 전 안먹어요', '┗ 오리지날(누구나O)']"
46,2022. 06. 23. (목),오전 11:52:48,"['[해장용]얼큰하게 속푸는 매운해장국밥\n1개', '┗ 숙취해소(모닝케어) 1병', '┗ 고기만 넣기']"
47,2022. 06. 23. (목),오전 11:52:36,"['직화양념 치밥도시락 (매콤) (지코X 스타일)\n2개', '마늘간장 치밥도시락\n1개', '┗ 마늘간장', '직화바베큐 치밥도시락\n1개']"
48,2022. 06. 23. (목),오전 11:34:43,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 오리지널 (맛선택)', '乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 청양고추+오리지널 (맛선택)']"
49,2022. 06. 23. (목),오전 11:22:03,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 치즈스틱 5개', '┗ 가쓰오부시 추가', '┗ 파마산치즈+오리지널 (맛선택)']"
50,2022. 06. 23. (목),오전 10:56:30,"['직화숯불구이 ( 150g ) + 살얼음 흑미냉면1\n1개', '┗ 오리지날(누구나O)', '┗ ㄹl뷰 ㅇl벤트(콜라355ml)', '┗ 겨자,식초 주세요', '직화숯불구이 ( 150g ) + 코다리회냉면1\n1개', '┗ 오리지날(누구나O)', '┗ 전 안먹어요', '┗ ㄹl뷰 ㅇl벤트(숯불향 갈비만두4pc)']"
51,2022. 06. 23. (목),오전 10:50:14,"['마늘간장 치밥도시락\n1개', '┗ 마늘간장', '직화바베큐 치밥도시락\n2개']"
52,2022. 06. 23. (목),오전 10:38:01,"['[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 청양마요 (맛선택)', '┗ 오리지널 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 대파+오리지널 (맛선택)', '┗ 매콤양념 (맛선택)', '계란찜\n1개', '날치알마요 셀프주먹밥\n1개']"
